Date,Susceptible,Infected,Removed
2020-05-08,2956971.0,1768,1261
2020-05-09,2956825.0,1864,1311
2020-05-10,2956687.0,1943,1370
2020-05-11,2956608.0,1987,1405
2020-05-12,2956462.0,2061,1477
2020-05-13,2956282.0,2170,1548
2020-05-14,2956140.0,2239,1621
2020-05-15,2955956.0,2326,1718
2020-05-16,2955717.0,2437,1846
2020-05-17,2955528.0,2487,1985
2020-05-18,2955177.0,2743,2080
2020-05-19,2954959.0,2813,2228
2020-05-20,2954729.0,2785,2486
2020-05-21,2954394.0,2955,2651
2020-05-22,2954072.0,2980,2948
2020-05-23,2953698.0,3289,3013
2020-05-24,2953339.0,3516,3145
2020-05-25,2952887.0,3881,3232
2020-05-26,2952598.0,4091,3311
2020-05-27,2952226.0,4421,3353
2020-05-28,2951784.0,4816,3400
2020-05-29,2951324.0,5259,3417
2020-05-30,2951073.0,5483,3444
2020-05-31,2950718.0,5765,3517
2020-06-01,2950508.0,5951,3541
2020-06-02,2949991.0,6424,3585
2020-06-03,2949476.0,6900,3624
2020-06-04,2948779.0,7577,3644
2020-06-05,2948183.0,8121,3696
2020-06-06,2947636.0,8454,3910
2020-06-07,2946870.0,8916,4214
2020-06-08,2946675.0,9015,4310
2020-06-09,2946325.0,9007,4668
2020-06-10,2945897.0,8650,5453
2020-06-11,2945331.0,8958,5711
2020-06-12,2944719.0,9384,5897
2020-06-13,2943996.0,9659,6345
2020-06-14,2943333.0,10184,6483
2020-06-15,2942936.0,10503,6561
2020-06-16,2942511.0,10625,6864
2020-06-17,2941967.0,10917,7116
2020-06-18,2941302.0,10829,7869
2020-06-19,2940843.0,10572,8585
2020-06-20,2940292.0,10522,9186
2020-06-21,2939732.0,10916,9352
2020-06-22,2939412.0,11097,9491
2020-06-23,2938994.0,10490,10516
2020-06-24,2938283.0,10534,11183
2020-06-25,2937512.0,10756,11732
2020-06-26,2936753.0,10688,12559
2020-06-27,2936091.0,10577,13332
2020-06-28,2935355.0,11103,13542
2020-06-29,2934873.0,11397,13730
2020-06-30,2934458.0,11051,14491
2020-07-01,2933935.0,11049,15016
2020-07-02,2933342.0,11163,15495
2020-07-03,2932680.0,11367,15953
2020-07-04,2932100.0,11488,16412
2020-07-05,2931394.0,11982,16624
2020-07-06,2931064.0,12143,16793
2020-07-07,2930715.0,11875,17410
2020-07-08,2930180.0,11872,17948
2020-07-09,2929654.0,11811,18535
2020-07-10,2929097.0,11648,19255
2020-07-11,2928608.0,11414,19978
2020-07-12,2928031.0,11771,20198
2020-07-13,2927849.0,11713,20438
2020-07-14,2927510.0,11180,21310
2020-07-15,2926995.0,11065,21940
2020-07-16,2926441.0,11021,22538
2020-07-17,2925999.0,10889,23112
2020-07-18,2925538.0,10708,23754
2020-07-19,2925123.0,10942,23935
2020-07-20,2925019.0,10829,24152
2020-07-21,2924746.0,10386,24868
2020-07-22,2924307.0,10249,25444
2020-07-23,2923838.0,10230,25932
2020-07-24,2923387.0,10187,26426
2020-07-25,2923004.0,10053,26943
2020-07-26,2922683.0,10134,27183
2020-07-27,2922610.0,10014,27376
2020-07-28,2922371.0,9553,28076
2020-07-29,2922063.0,9390,28547
2020-07-30,2921804.0,9102,29094
2020-07-31,2921450.0,8815,29735
2020-08-01,2921159.0,8535,30306
2020-08-02,2920950.0,8546,30504
2020-08-03,2920898.0,8479,30623
2020-08-04,2920702.0,8158,31140
2020-08-05,2920414.0,7966,31620
2020-08-06,2920181.0,7491,32328
2020-08-07,2920015.0,7200,32785
2020-08-08,2919815.0,7005,33180
2020-08-09,2919590.0,7099,33311
2020-08-10,2919567.0,7021,33412
2020-08-11,2919407.0,6633,33960
2020-08-12,2919206.0,6496,34298
2020-08-13,2918977.0,6317,34706
2020-08-14,2918701.0,6321,34978
2020-08-15,2918505.0,6194,35301
2020-08-16,2918337.0,6261,35402
2020-08-17,2918299.0,6222,35479
2020-08-18,2918154.0,6032,35814
2020-08-19,2917944.0,5997,36059
2020-08-20,2917681.0,6007,36312
2020-08-21,2917523.0,5942,36535
2020-08-22,2917384.0,5859,36757
2020-08-23,2917208.0,5949,36843
2020-08-24,2917175.0,5922,36903
2020-08-25,2917064.0,5603,37333
2020-08-26,2916933.0,5480,37587
2020-08-27,2916730.0,5418,37852
2020-08-28,2916549.0,5318,38133
2020-08-29,2916374.0,5191,38435
2020-08-30,2916250.0,5223,38527
2020-08-31,2916219.0,5180,38601
2020-09-01,2916122.0,4641,39237
2020-09-02,2915925.0,4560,39515
2020-09-03,2915729.0,4529,39742
2020-09-04,2915539.0,4313,40148
2020-09-05,2915351.0,3931,40718
2020-09-06,2915217.0,3797,40986
2020-09-07,2915155.0,3824,41021
2020-09-08,2915047.0,3458,41495
