Date,Susceptible,Infected,Removed
2020-05-15,212339367.0,132035,88598
2020-05-16,212325319.0,139096,95585
2020-05-17,212317656.0,142617,99727
2020-05-18,212303097.0,145684,111219
2020-05-19,212285608.0,154121,120271
2020-05-20,212265376.0,163491,131133
2020-05-21,212247239.0,170620,142141
2020-05-22,212225432.0,182331,152237
2020-05-23,212208435.0,178060,173505
2020-05-24,212193967.0,179587,186446
2020-05-25,212181160.0,184227,194613
2020-05-26,212164833.0,189454,205713
2020-05-27,212144634.0,198814,216552
2020-05-28,212116297.0,214051,229652
2020-05-29,212089407.0,225920,244673
2020-05-30,212057086.0,214678,288236
2020-05-31,212043863.0,216522,299615
2020-06-01,212028714.0,219784,311502
2020-06-02,211997037.0,235747,327216
2020-06-03,211970952.0,250035,339013
2020-06-04,211938998.0,263860,357142
2020-06-05,211906897.0,274849,378254
2020-06-06,211883107.0,284276,392617
2020-06-07,211865119.0,290216,404665
2020-06-08,211847781.0,294940,417279
2020-06-09,211816083.0,306965,436952
2020-06-10,211782293.0,322338,455369
2020-06-11,211753601.0,332162,474237
2020-06-12,211729319.0,341549,489132
2020-06-13,211708089.0,347609,504302
2020-06-14,211691295.0,354064,514641
2020-06-15,211666678.0,369349,523973
2020-06-16,211629695.0,392704,537601
2020-06-17,211598770.0,391073,570157
2020-06-18,211573250.0,401538,585212
2020-06-19,211517191.0,434879,607930
2020-06-20,211488334.0,429806,641860
2020-06-21,211471767.0,434042,654191
2020-06-22,211445272.0,445792,668936
2020-06-23,211405745.0,470392,683863
2020-06-24,211364712.0,478178,717110
2020-06-25,211323248.0,497269,739483
2020-06-26,211278364.0,518939,762697
2020-06-27,211241444.0,529617,788939
2020-06-28,211208561.0,543498,807941
2020-06-29,211187011.0,552533,820456
2020-06-30,211147331.0,560389,852280
2020-07-01,211100506.0,468254,991240
2020-07-02,211056105.0,474848,1029047
2020-07-03,211013065.0,492897,1054038
2020-07-04,210979498.0,496068,1084434
2020-07-05,210954305.0,496395,1109300
2020-07-06,210929851.0,495881,1134268
2020-07-07,210883152.0,496810,1180038
2020-07-08,210837902.0,507244,1214854
2020-07-09,210794940.0,520292,1244768
2020-07-10,210750629.0,521364,1288007
2020-07-11,210715682.0,528652,1315666
2020-07-12,210692024.0,530938,1337038
2020-07-13,210669131.0,526588,1364281
2020-07-14,210626209.0,530932,1402859
2020-07-15,210586067.0,530681,1443252
2020-07-16,210542384.0,542242,1475374
2020-07-17,210507766.0,545475,1506759
2020-07-18,210482013.0,540045,1537942
2020-07-19,210458601.0,532186,1569213
2020-07-20,210435848.0,522363,1601789
2020-07-21,210388921.0,513248,1657831
2020-07-22,210322771.0,533957,1703272
2020-07-23,210265445.0,517069,1777486
2020-07-24,210208542.0,514099,1837359
2020-07-25,210161007.0,524864,1874129
2020-07-26,210138334.0,521636,1900030
2020-07-27,210110323.0,513549,1936128
2020-07-28,210056319.0,529586,1974095
2020-07-29,210000868.0,538294,2020838
2020-07-30,209942813.0,560868,2056319
2020-07-31,209889549.0,568869,2101582
2020-08-01,209848008.0,572222,2139770
2020-08-02,209823942.0,571086,2164972
2020-08-03,209803836.0,562393,2193771
2020-08-04,209747553.0,558741,2253706
2020-08-05,209691384.0,577311,2291305
2020-08-06,209637395.0,573668,2348937
2020-08-07,209587992.0,591104,2380904
2020-08-08,209541603.0,596180,2422217
2020-08-09,209518873.0,582918,2458209
2020-08-10,209492367.0,568758,2498875
2020-08-11,209441847.0,564280,2553873
2020-08-12,209386893.0,562266,2610841
2020-08-13,209326180.0,598940,2634880
2020-08-14,209276773.0,588973,2694254
2020-08-15,209239892.0,589865,2730243
2020-08-16,209216886.0,573929,2769185
2020-08-17,209192489.0,559683,2807828
2020-08-18,209143225.0,555157,2861618
2020-08-19,209094622.0,552184,2913194
2020-08-20,209051648.0,551534,2956818
2020-08-21,209019322.0,547766,2992912
2020-08-22,208973414.0,552560,3034026
2020-08-23,208951541.0,544810,3063649
2020-08-24,208928028.0,528686,3103286
2020-08-25,208881721.0,528968,3149311
2020-08-26,208833569.0,526145,3200286
2020-08-27,208791309.0,525402,3243289
2020-08-28,208747221.0,534323,3278456
2020-08-29,208709930.0,527315,3322755
2020-08-30,208695396.0,506018,3358586
2020-08-31,208645171.0,488857,3425972
2020-09-01,208600842.0,482753,3476405
2020-09-02,208554389.0,488561,3517050
2020-09-03,208507580.0,498146,3554274
2020-09-04,208468041.0,498746,3593213
2020-09-05,208434184.0,500055,3625761
2020-09-06,208419512.0,491583,3648905
2020-09-07,208409996.0,473733,3676271
2020-09-08,208391210.0,468774,3700016
2020-09-09,208354123.0,465493,3740384
2020-09-10,208313362.0,459211,3787427
2020-09-11,208271829.0,462439,3825732
2020-09-12,208241029.0,464424,3854547
2020-09-13,208227009.0,452350,3880641
2020-09-14,208206398.0,451260,3902342
2020-09-15,208171846.0,443363,3944791
2020-09-16,208134549.0,437374,3988077
2020-09-17,208098144.0,452805,4009051
2020-09-18,208058413.0,456745,4044842
2020-09-19,208028855.0,456605,4074540
2020-09-20,208013413.0,446164,4100423
2020-09-21,207995778.0,447135,4117087
2020-09-22,207960811.0,419965,4179224
2020-09-23,207928085.0,421763,4210152
2020-09-24,207896070.0,414174,4249756
2020-09-25,207863760.0,424787,4271453
2020-09-26,207839042.0,426183,4294775
2020-09-27,207825255.0,420187,4314558
2020-09-28,207808384.0,412006,4339610
2020-09-29,207775536.0,404216,4380248
2020-09-30,207742635.0,398513,4418852
2020-10-01,207706852.0,408638,4444510
2020-10-02,207674034.0,415761,4470205
2020-10-03,207651026.0,401773,4507201
2020-10-04,207642311.0,394571,4523118
2020-10-05,207616258.0,396684,4547058
2020-10-06,207584732.0,397274,4577994
2020-10-07,207553794.0,399553,4606653
2020-10-08,207526964.0,396968,4636068
2020-10-09,207499231.0,408831,4651938
2020-10-10,207475487.0,404433,4680080
2020-10-11,207463296.0,392901,4703803
2020-10-12,207454660.0,378910,4726430
2020-10-13,207441301.0,370982,4747717
2020-10-14,207413457.0,367716,4778827
2020-10-15,207383031.0,368566,4808403
2020-10-16,207354435.0,373714,4831851
2020-10-17,207333659.0,370949,4855392
2020-10-18,207321608.0,367514,4870878
2020-10-19,207305029.0,363751,4891220
2020-10-20,207281263.0,362170,4916567
2020-10-21,207255407.0,363939,4940654
2020-10-22,207230643.0,367960,4961397
2020-10-23,207200642.0,378290,4981068
2020-10-24,207175658.0,379823,5004519
2020-10-25,207163404.0,372478,5024118
2020-10-26,207144793.0,361944,5053263
2020-10-27,207114811.0,372404,5072785
2020-10-28,207086460.0,367207,5106333
2020-10-29,207059760.0,378559,5121681
2020-10-30,207035407.0,377478,5147115
2020-10-31,207022237.0,372630,5165133
2020-11-01,207012049.0,365338,5182613
2020-11-02,207003800.0,356422,5199778
2020-11-03,206989218.0,349457,5221325
2020-11-04,206965902.0,354690,5239408
2020-11-05,206942057.0,353332,5264611
2020-11-06,206921857.0,357867,5280276
2020-11-07,206904113.0,354898,5300989
2020-11-08,206893611.0,356679,5309710
2020-11-09,206880197.0,353853,5325950
2020-11-10,206833773.0,379335,5346892
2020-11-11,206807526.0,366041,5386433
2020-11-12,206773607.0,367507,5418886
2020-11-13,206734889.0,385294,5439817
2020-11-14,206708611.0,406198,5445191
2020-11-15,206694705.0,418561,5446734
2020-11-16,206678961.0,379405,5501634
2020-11-17,206643471.0,391416,5525113
2020-11-18,206608719.0,400328,5550953
2020-11-19,206572857.0,412859,5574284
2020-11-20,206534087.0,426286,5599627
2020-11-21,206503865.0,449858,5606277
2020-11-22,206485939.0,445489,5628572
2020-11-23,206467781.0,441414,5650805
2020-11-24,206433248.0,446859,5679893
2020-11-25,206388620.0,466499,5704881
2020-11-26,206347735.0,483797,5728468
2020-11-27,206314227.0,492197,5753576
2020-11-28,206262742.0,541149,5756109
2020-11-29,206241730.0,560765,5757505
2020-11-30,206218035.0,487049,5854916
2020-12-01,206166050.0,507692,5886258
2020-12-02,206117575.0,508499,5933926
2020-12-03,206067436.0,524632,5967932
2020-12-04,206019765.0,538419,6001816
2020-12-05,205979483.0,538961,6041556
2020-12-06,205953053.0,560469,6046478
2020-12-07,205926029.0,539151,6094820
2020-12-08,205878233.0,537368,6144399
2020-12-09,205823642.0,586904,6149454
2020-12-10,205770092.0,566786,6223122
2020-12-11,205717542.0,583607,6258851
2020-12-12,205675218.0,620386,6264396
2020-12-13,205653189.0,586926,6319885
2020-12-14,205625809.0,594093,6340098
2020-12-15,205577777.0,592757,6389466
2020-12-16,205511653.0,625231,6423116
2020-12-17,205442954.0,630514,6486532
2020-12-18,205390101.0,661142,6508757
2020-12-19,205341859.0,642742,6575399
2020-12-20,205317375.0,643589,6599036
2020-12-21,205289730.0,613519,6656751
2020-12-22,205233065.0,637184,6689751
2020-12-23,205187386.0,664434,6708180
2020-12-24,205129175.0,716793,6714032
2020-12-25,205107992.0,734124,6717884
2020-12-26,205090459.0,624439,6845102
2020-12-27,205072845.0,617112,6870043
2020-12-28,205045408.0,608773,6905819
2020-12-29,204989037.0,624013,6946950
2020-12-30,204933437.0,618415,7008148
2020-12-31,204878968.0,637116,7043916
2021-01-01,204856029.0,653058,7050913
2021-01-02,204840676.0,630234,7089090
2021-01-03,204823486.0,635987,7100527
2021-01-04,204798447.0,614766,7146787
2021-01-05,204740364.0,626165,7193471
2021-01-06,204677857.0,649696,7232447
2021-01-07,204589888.0,687912,7282200
2021-01-08,204530302.0,691121,7338577
2021-01-09,204478909.0,672912,7408179
2021-01-10,204449882.0,675523,7434595
2021-01-11,204419135.0,663878,7476987
2021-01-12,204354711.0,715469,7489820
2021-01-13,204294884.0,710788,7554328
2021-01-14,204226555.0,731413,7602032
2021-01-15,204157458.0,756039,7646503
2021-01-16,204099013.0,765722,7695265
2021-01-17,204067597.0,759559,7732844
2021-01-18,204038664.0,750407,7770929
2021-01-19,203976515.0,753776,7829709
2021-01-20,203912038.0,810089,7837873
2021-01-21,203853088.0,819449,7887463
2021-01-22,203797338.0,792552,7970110
2021-01-23,203738185.0,813677,8008138
2021-01-24,203709666.0,811776,8038558
2021-01-25,203679136.0,798023,8082841
2021-01-26,203617528.0,793065,8149407
2021-01-27,203552756.0,822705,8184539
2021-01-28,203491996.0,853297,8214707
2021-01-29,203432493.0,838016,8289491
2021-01-30,203379379.0,807870,8372751
2021-01-31,203351479.0,807500,8401021
2021-02-01,203322989.0,789309,8447702
2021-02-02,203266711.0,808683,8484606
2021-02-03,203212297.0,806928,8540775
2021-02-04,203155190.0,809606,8595204
2021-02-05,203103500.0,830094,8626406
2021-02-06,203057190.0,841726,8661084
2021-02-07,203031028.0,828829,8700143
2021-02-08,203002442.0,846335,8711223
2021-02-09,202951225.0,797848,8810927
2021-02-10,202890117.0,818520,8851363
2021-02-11,202836513.0,849914,8873573
2021-02-12,202787571.0,815307,8957122
2021-02-13,202742715.0,831013,8986272
2021-02-14,202711992.0,840620,9007388
2021-02-15,202686184.0,801664,9072152
2021-02-16,202620900.0,838819,9100281
2021-02-17,202573675.0,801966,9184359
2021-02-18,202520196.0,816400,9223404
2021-02-19,202468039.0,825422,9266539
2021-02-20,202415668.0,827713,9316619
2021-02-21,202386183.0,831405,9342412
2021-02-22,202354337.0,850027,9355636
2021-02-23,202290752.0,830555,9438693
2021-02-24,202225366.0,870061,9464573
2021-02-25,202157087.0,880602,9522311
2021-02-26,202093692.0,903586,9562722
2021-02-27,202035274.0,897774,9626952
2021-02-28,202001909.0,920596,9637495
2021-03-01,201961524.0,904858,9693618
2021-03-02,201901829.0,894180,9763991
2021-03-03,201828930.0,923179,9807891
2021-03-04,201752908.0,939725,9867367
2021-03-05,201680403.0,960244,9919353
2021-03-06,201613499.0,995889,9950612
2021-03-07,201531815.0,1023035,10005150
2021-03-08,201495230.0,970607,10094163
2021-03-09,201423936.0,988739,10147325
2021-03-10,201342469.0,1024397,10193134
2021-03-11,201265398.0,1036445,10258157
2021-03-12,201182927.0,1053648,10323425
2021-03-13,201112584.0,1085183,10362233
2021-03-14,201069136.0,1071811,10419053
2021-03-15,201024822.0,1058765,10476413
2021-03-16,200939177.0,1077002,10543821
2021-03-17,200850525.0,1096707,10612768
2021-03-18,200762599.0,1124676,10672725
2021-03-19,200674340.0,1156465,10729195
2021-03-20,200601186.0,1188654,10770160
2021-03-21,200553741.0,1186818,10819441
2021-03-22,200497771.0,1145528,10916701
2021-03-23,200412563.0,1178874,10968563
2021-03-24,200321657.0,1186822,11051521
2021-03-25,200223396.0,1224061,11112543
2021-03-26,200143050.0,1222604,11194346
2021-03-27,200061347.0,1239308,11259345
2021-03-28,200014389.0,1228785,11316826
2021-03-29,199971774.0,1248757,11339469
2021-03-30,199885333.0,1271085,11403582
2021-03-31,199796608.0,1259883,11503509
2021-04-01,199708835.0,1285159,11566006
2021-04-02,199639460.0,1311924,11608616
2021-04-03,199600105.0,1301882,11658013
2021-04-04,199567787.0,1293796,11698417
2021-04-05,199525113.0,1295672,11739215
2021-04-06,199439981.0,1322746,11797273
2021-04-07,199351285.0,1256692,11952023
2021-04-08,199262730.0,1282992,12014278
2021-04-09,199175606.0,1309984,12074410
2021-04-10,199108068.0,1360609,12091323
2021-04-11,199068893.0,1258618,12232489
2021-04-12,199031737.0,1280862,12247401
2021-04-13,199031737.0,1280862,12247401
