Date,Susceptible,Infected,Removed
2020-04-04,67321395.0,45608,22997
2020-04-05,67319522.0,46218,24260
2020-04-06,67315610.0,48230,26160
2020-04-07,67311833.0,48503,29664
2020-04-08,67307952.0,49926,32122
2020-04-09,67303666.0,50919,35415
2020-04-10,67299324.0,52548,38128
2020-04-11,67296210.0,53568,40222
2020-04-12,67294597.0,53825,41578
2020-04-13,67291924.0,55392,42684
2020-04-14,67286427.0,59040,44533
2020-04-15,67283794.0,58087,48119
2020-04-16,67281153.0,58128,50719
2020-04-17,67280748.0,56165,53087
2020-04-18,67278179.0,56529,55292
2020-04-19,67277394.0,56324,56282
2020-04-20,67275343.0,56997,57660
2020-04-21,67272676.0,57361,59963
2020-04-22,67270849.0,57171,61980
2020-04-23,67269196.0,56877,63927
2020-04-24,67267423.0,56857,65720
2020-04-25,67265886.0,56924,67190
2020-04-26,67265425.0,56834,67741
2020-04-27,67264230.0,56982,68788
2020-04-28,67262710.0,57442,69848
2020-04-29,67261558.0,56146,72296
2020-04-30,67260419.0,55749,73832
2020-05-01,67259815.0,55406,74779
2020-05-02,67259021.0,55684,75295
2020-05-03,67258713.0,55635,75652
2020-05-04,67258137.0,55318,76545
2020-05-05,67257033.0,54727,78240
2020-05-06,67252850.0,57397,79753
2020-05-07,67252221.0,56793,80986
2020-05-08,67251579.0,56437,81984
2020-05-09,67251146.0,56534,82320
2020-05-10,67250937.0,56494,82569
2020-05-11,67250481.0,56180,83339
2020-05-12,67249773.0,55479,84748
2020-05-13,67249266.0,55015,85719
2020-05-14,67248644.0,54354,87002
2020-05-15,67248081.0,53970,87949
2020-05-16,67247709.0,53628,88663
2020-05-17,67247589.0,53118,89293
2020-05-18,67247097.0,52964,89939
2020-05-19,67246573.0,52870,90557
2020-05-20,67246155.0,52387,91458
2020-05-21,67245837.0,52118,92045
2020-05-22,67245444.0,52086,92470
2020-05-23,67245194.0,51955,92851
2020-05-24,67245079.0,51965,92956
2020-05-25,67244721.0,51676,93603
2020-05-26,67244445.0,51175,94380
2020-05-27,67244254.0,50595,95151
2020-05-28,67240929.0,53247,95824
2020-05-29,67240332.0,53180,96488
2020-05-30,67238504.0,54486,97010
2020-05-31,67238247.0,54625,97128
2020-06-01,67237909.0,54847,97244
2020-06-02,67238675.0,53602,97723
2020-06-03,67238323.0,53230,98447
2020-06-04,67237556.0,53432,99012
2020-06-05,67236945.0,53470,99585
2020-06-06,67236366.0,53716,99918
2020-06-07,67236023.0,54010,99967
2020-06-08,67235812.0,53947,100241
2020-06-09,67235409.0,53819,100772
2020-06-10,67234864.0,54015,101121
2020-06-11,67234439.0,54096,101465
2020-06-12,67233713.0,54371,101916
2020-06-13,67233187.0,54637,102176
2020-06-14,67232780.0,54984,102236
2020-06-15,67232628.0,54922,102450
2020-06-16,67232284.0,54864,102852
2020-06-17,67231826.0,54962,103212
2020-06-18,67231359.0,55181,103460
2020-06-19,67230548.0,55748,103704
2020-06-20,67229907.0,56178,103915
2020-06-21,67229623.0,56395,103982
2020-06-22,67229250.0,56505,104245
2020-06-23,67228733.0,56706,104561
2020-06-24,67228652.0,56520,104828
2020-06-25,67228652.0,56275,105073
2020-06-26,67227064.0,57539,105397
2020-06-27,67227064.0,57360,105576
2020-06-28,67227064.0,57328,105608
2020-06-29,67225740.0,58478,105782
2020-06-30,67225199.0,58714,106087
2020-07-01,67224281.0,59339,106380
2020-07-02,67223622.0,59731,106647
2020-07-03,67223040.0,60038,106922
2020-07-04,67222289.0,60666,107045
2020-07-05,67221841.0,61093,107066
2020-07-06,67221665.0,61127,107208
2020-07-07,67221190.0,61253,107557
2020-07-08,67220527.0,61543,107930
2020-07-09,67219906.0,61976,108118
2020-07-10,67219248.0,62391,108361
2020-07-11,67218496.0,63060,108444
2020-07-12,67217911.0,63612,108477
2020-07-13,67217623.0,63782,108595
2020-07-14,67217112.0,64203,108685
2020-07-15,67216696.0,64395,108909
2020-07-16,67216162.0,64695,109143
2020-07-17,67215326.0,65309,109365
2020-07-18,67214361.0,66177,109462
2020-07-19,67213596.0,66879,109525
2020-07-20,67213246.0,67067,109687
2020-07-21,67212662.0,67470,109868
2020-07-22,67211664.0,68238,110098
2020-07-23,67210602.0,68775,110623
2020-07-24,67209472.0,69552,110976
2020-07-25,67208364.0,70541,111095
2020-07-26,67207435.0,71437,111128
2020-07-27,67206921.0,71819,111260
2020-07-28,67206196.0,72301,111503
2020-07-29,67204804.0,73489,111707
