Date,Susceptible,Infected,Removed
2020-05-26,2217762.0,1631,607
2020-05-27,2217681.0,1674,645
2020-05-28,2217569.0,1749,682
2020-05-29,2217387.0,1889,724
2020-05-30,2217345.0,1916,739
2020-05-31,2217345.0,1916,739
2020-06-01,2217345.0,1916,739
2020-06-02,2217197.0,2004,799
2020-06-03,2217098.0,2081,821
2020-06-04,2217045.0,2116,839
2020-06-05,2216899.0,2247,854
2020-06-06,2216899.0,2247,854
2020-06-07,2216899.0,2247,854
2020-06-08,2216899.0,2247,854
2020-06-09,2216753.0,2288,959
2020-06-10,2216625.0,2375,1000
2020-06-11,2216537.0,2416,1047
2020-06-12,2216537.0,2416,1047
2020-06-13,2216537.0,2416,1047
2020-06-14,2216537.0,2416,1047
2020-06-15,2215967.0,2672,1361
2020-06-16,2215886.0,2653,1461
2020-06-17,2215771.0,2694,1535
2020-06-18,2215660.0,2651,1689
2020-06-19,2215572.0,2644,1784
2020-06-20,2215572.0,2644,1784
2020-06-21,2215572.0,2644,1784
2020-06-22,2215261.0,2698,2041
2020-06-23,2215151.0,2703,2146
2020-06-24,2215044.0,2740,2216
2020-06-25,2214913.0,2777,2310
2020-06-26,2214791.0,2842,2367
2020-06-27,2214791.0,2842,2367
2020-06-28,2214791.0,2842,2367
2020-06-29,2214606.0,2932,2462
2020-06-30,2214606.0,2932,2462
2020-07-01,2214487.0,2963,2550
2020-07-02,2214487.0,2963,2550
2020-07-03,2214380.0,3021,2599
2020-07-04,2214380.0,3021,2599
2020-07-05,2214380.0,3021,2599
2020-07-06,2214257.0,3123,2620
2020-07-07,2214257.0,3123,2620
2020-07-08,2214129.0,3143,2728
2020-07-09,2214129.0,3143,2728
2020-07-10,2214058.0,2892,3050
2020-07-11,2214058.0,2892,3050
2020-07-12,2214058.0,2892,3050
2020-07-13,2213974.0,2505,3521
2020-07-14,2213974.0,2505,3521
2020-07-15,2213879.0,2411,3710
2020-07-16,2213879.0,2411,3710
2020-07-17,2213685.0,2404,3911
2020-07-18,2213685.0,2404,3911
2020-07-19,2213685.0,2404,3911
2020-07-20,2213567.0,2353,4080
2020-07-21,2213567.0,2353,4080
2020-07-22,2213412.0,2306,4282
2020-07-23,2213412.0,2306,4282
2020-07-24,2213016.0,2472,4512
2020-07-25,2213016.0,2472,4512
2020-07-26,2213016.0,2472,4512
2020-07-27,2212811.0,2458,4731
2020-07-28,2212811.0,2458,4731
2020-07-29,2212648.0,2360,4992
2020-07-30,2212648.0,2360,4992
2020-07-31,2212648.0,2360,4992
2020-08-01,2212469.0,2258,5273
2020-08-02,2212469.0,2258,5273
2020-08-03,2212354.0,2187,5459
2020-08-04,2212354.0,2187,5459
2020-08-05,2212213.0,2127,5660
2020-08-06,2212213.0,2127,5660
2020-08-07,2212077.0,2168,5755
2020-08-08,2212077.0,2168,5755
2020-08-09,2212077.0,2168,5755
2020-08-10,2211994.0,2132,5874
2020-08-11,2211994.0,2132,5874
2020-08-12,2211923.0,2106,5971
2020-08-13,2211923.0,2106,5971
2020-08-14,2211775.0,1897,6328
2020-08-15,2211775.0,1897,6328
2020-08-16,2211775.0,1897,6328
2020-08-17,2211730.0,1813,6457
2020-08-18,2211730.0,1813,6457
2020-08-19,2211681.0,1652,6667
2020-08-20,2211681.0,1652,6667
2020-08-21,2211612.0,1601,6787
2020-08-22,2211612.0,1601,6787
2020-08-23,2211612.0,1601,6787
2020-08-24,2211591.0,1397,7012
2020-08-25,2211591.0,1397,7012
2020-08-26,2211532.0,1349,7119
2020-08-27,2211532.0,1349,7119
2020-08-28,2211495.0,1265,7240
2020-08-29,2211495.0,1265,7240
2020-08-30,2211495.0,1265,7240
2020-08-31,2211467.0,1216,7317
2020-09-01,2211467.0,1216,7317
2020-09-02,2211462.0,1150,7388
2020-09-03,2211462.0,1150,7388
2020-09-04,2211399.0,1124,7477
2020-09-05,2211399.0,1124,7477
2020-09-06,2211399.0,1124,7477
2020-09-07,2211392.0,1022,7586
2020-09-08,2211392.0,1022,7586
2020-09-09,2211379.0,950,7671
2020-09-10,2211379.0,950,7671
2020-09-11,2211357.0,884,7759
2020-09-12,2211357.0,884,7759
2020-09-13,2211357.0,884,7759
2020-09-14,2211346.0,816,7838
2020-09-15,2211346.0,816,7838
2020-09-16,2211322.0,798,7880
2020-09-17,2211322.0,798,7880
2020-09-18,2211304.0,795,7901
2020-09-19,2211304.0,795,7901
2020-09-20,2211304.0,795,7901
2020-09-21,2211296.0,775,7929
2020-09-22,2211296.0,775,7929
2020-09-23,2211284.0,756,7960
2020-09-24,2211284.0,756,7960
2020-09-25,2211272.0,740,7988
2020-09-26,2211272.0,740,7988
2020-09-27,2211272.0,740,7988
2020-09-28,2211272.0,740,7988
2020-09-29,2211248.0,743,8009
2020-09-30,2211234.0,707,8059
2020-10-01,2211234.0,707,8059
2020-10-02,2211203.0,676,8121
2020-10-03,2211203.0,676,8121
2020-10-04,2211203.0,676,8121
2020-10-05,2211192.0,619,8189
2020-10-06,2211192.0,619,8189
2020-10-07,2211185.0,597,8218
2020-10-08,2211185.0,597,8218
2020-10-09,2211165.0,592,8243
2020-10-10,2211165.0,592,8243
2020-10-11,2211165.0,592,8243
2020-10-12,2211140.0,508,8352
2020-10-13,2211140.0,508,8352
2020-10-14,2211131.0,420,8449
2020-10-15,2211131.0,420,8449
2020-10-16,2211119.0,397,8484
2020-10-17,2211119.0,397,8484
2020-10-18,2211119.0,397,8484
2020-10-19,2211116.0,378,8506
2020-10-20,2211116.0,378,8506
2020-10-21,2211099.0,368,8533
2020-10-22,2211099.0,368,8533
2020-10-23,2211081.0,353,8566
2020-10-24,2211081.0,353,8566
2020-10-25,2211081.0,353,8566
2020-10-26,2211063.0,335,8602
2020-10-27,2211063.0,335,8602
2020-10-28,2211043.0,283,8674
2020-10-29,2211043.0,283,8674
2020-10-30,2211032.0,215,8753
2020-10-31,2211032.0,215,8753
2020-11-01,2211032.0,215,8753
2020-11-02,2211016.0,150,8834
2020-11-03,2211016.0,150,8834
2020-11-04,2210995.0,104,8901
2020-11-05,2210995.0,104,8901
2020-11-06,2210978.0,89,8933
2020-11-07,2210978.0,89,8933
2020-11-08,2210978.0,89,8933
2020-11-09,2210971.0,73,8956
2020-11-10,2210971.0,73,8956
2020-11-11,2210952.0,69,8979
2020-11-12,2210952.0,69,8979
2020-11-13,2210938.0,65,8997
2020-11-14,2210938.0,65,8997
2020-11-15,2210938.0,65,8997
2020-11-16,2210916.0,69,9015
2020-11-17,2210916.0,69,9015
2020-11-18,2210916.0,69,9015
2020-11-19,2210884.0,92,9024
2020-11-20,2210869.0,96,9035
2020-11-21,2210869.0,96,9035
2020-11-22,2210869.0,96,9035
2020-11-23,2210850.0,92,9058
2020-11-24,2210850.0,92,9058
2020-11-25,2210827.0,98,9075
2020-11-26,2210827.0,98,9075
2020-11-27,2210809.0,95,9096
2020-11-28,2210809.0,95,9096
2020-11-29,2210809.0,95,9096
2020-11-30,2210786.0,88,9126
2020-12-01,2210786.0,88,9126
2020-12-02,2210761.0,90,9149
2020-12-03,2210761.0,90,9149
2020-12-04,2210746.0,88,9166
2020-12-05,2210746.0,88,9166
2020-12-06,2210746.0,88,9166
2020-12-07,2210722.0,86,9192
2020-12-08,2210722.0,86,9192
2020-12-09,2210700.0,83,9217
2020-12-10,2210700.0,83,9217
2020-12-11,2210670.0,85,9245
2020-12-12,2210670.0,85,9245
2020-12-13,2210670.0,85,9245
2020-12-14,2210649.0,84,9267
2020-12-15,2210649.0,84,9267
2020-12-16,2210627.0,87,9286
2020-12-17,2210627.0,87,9286
2020-12-18,2210600.0,82,9318
2020-12-19,2210600.0,82,9318
2020-12-20,2210600.0,82,9318
2020-12-21,2210580.0,73,9347
2020-12-22,2210580.0,73,9347
2020-12-23,2210531.0,95,9374
2020-12-24,2210531.0,95,9374
2020-12-25,2210503.0,102,9395
2020-12-26,2210503.0,102,9395
2020-12-27,2210503.0,102,9395
2020-12-28,2210490.0,90,9420
2020-12-29,2210490.0,90,9420
2020-12-30,2210429.0,119,9452
2020-12-31,2210429.0,119,9452
2021-01-01,2210429.0,119,9452
2021-01-02,2210429.0,119,9452
2021-01-03,2210429.0,119,9452
2021-01-04,2210395.0,124,9481
2021-01-05,2210395.0,124,9481
2021-01-06,2210359.0,122,9519
2021-01-07,2210359.0,122,9519
2021-01-08,2210306.0,130,9564
2021-01-09,2210306.0,130,9564
2021-01-10,2210306.0,130,9564
2021-01-11,2210260.0,125,9615
2021-01-12,2210260.0,125,9615
2021-01-13,2210181.0,156,9663
2021-01-14,2210181.0,156,9663
2021-01-15,2210101.0,175,9724
2021-01-16,2210101.0,175,9724
2021-01-17,2210101.0,175,9724
2021-01-18,2209981.0,221,9798
2021-01-19,2209981.0,221,9798
2021-01-20,2209880.0,245,9875
2021-01-21,2209880.0,245,9875
2021-01-22,2209722.0,309,9969
2021-01-23,2209722.0,309,9969
2021-01-24,2209722.0,309,9969
2021-01-25,2209589.0,331,10080
2021-01-26,2209589.0,331,10080
2021-01-27,2209464.0,346,10190
2021-01-28,2209464.0,346,10190
2021-01-29,2209252.0,420,10328
2021-01-30,2209252.0,420,10328
2021-01-31,2209252.0,420,10328
2021-02-01,2209048.0,465,10487
2021-02-02,2209048.0,465,10487
2021-02-03,2208871.0,499,10630
2021-02-04,2208871.0,499,10630
2021-02-05,2208543.0,589,10868
2021-02-06,2208543.0,589,10868
2021-02-07,2208543.0,589,10868
2021-02-08,2208164.0,727,11109
2021-02-09,2208164.0,727,11109
2021-02-10,2207829.0,825,11346
2021-02-11,2207829.0,825,11346
2021-02-12,2207423.0,970,11607
2021-02-13,2207423.0,970,11607
2021-02-14,2207423.0,970,11607
2021-02-15,2207135.0,1040,11825
2021-02-16,2207135.0,1040,11825
2021-02-17,2206893.0,1077,12030
2021-02-18,2206893.0,1077,12030
2021-02-19,2206447.0,1216,12337
2021-02-20,2206447.0,1216,12337
2021-02-21,2206447.0,1216,12337
2021-02-22,2206116.0,1247,12637
2021-02-23,2206116.0,1247,12637
2021-02-24,2205766.0,1308,12926
2021-02-25,2205766.0,1308,12926
2021-02-26,2205436.0,1338,13226
2021-02-27,2205436.0,1338,13226
2021-02-28,2205436.0,1338,13226
2021-03-01,2205151.0,1474,13375
2021-03-02,2205151.0,1474,13375
2021-03-03,2204746.0,1671,13583
2021-03-04,2204746.0,1671,13583
2021-03-05,2204746.0,1671,13583
2021-03-06,2204375.0,2040,13585
2021-03-07,2204375.0,1789,13836
2021-03-08,2203985.0,1877,14138
2021-03-09,2203985.0,1877,14138
2021-03-10,2203687.0,1846,14467
2021-03-11,2203687.0,1846,14467
2021-03-12,2203340.0,1981,14679
2021-03-13,2203340.0,1981,14679
2021-03-14,2203340.0,1981,14679
2021-03-15,2203055.0,2064,14881
2021-03-16,2203055.0,2064,14881
2021-03-17,2202703.0,2090,15207
2021-03-18,2202703.0,2090,15207
2021-03-19,2202289.0,2110,15601
2021-03-20,2202289.0,2110,15601
2021-03-21,2202289.0,2110,15601
2021-03-22,2201922.0,2316,15762
2021-03-23,2201922.0,2316,15762
2021-03-24,2201574.0,2454,15972
2021-03-25,2201574.0,2454,15972
2021-03-26,2201574.0,2454,15972
2021-03-27,2201223.0,2592,16185
2021-03-28,2201223.0,2592,16185
2021-03-29,2200860.0,2715,16425
2021-03-30,2200860.0,2715,16425
2021-03-31,2200450.0,2823,16727
2021-04-01,2200450.0,2823,16727
2021-04-02,2200137.0,2834,17029
2021-04-03,2200137.0,2834,17029
2021-04-04,2200137.0,2834,17029
2021-04-05,2200137.0,2834,17029
2021-04-06,2200137.0,2834,17029
2021-04-07,2199735.0,2914,17351
2021-04-08,2199735.0,2914,17351
2021-04-09,2199364.0,3053,17583
2021-04-10,2199364.0,3053,17583
2021-04-11,2199364.0,3053,17583
2021-04-12,2199029.0,3080,17891
2021-04-13,2199029.0,3080,17891
