Date,Susceptible,Infected,Removed
2020-04-02,83153070.0,2,86928
2020-04-03,83146883.0,2,93115
2020-04-04,83142538.0,2,97460
2020-04-05,83139991.0,2,100007
2020-04-06,83136320.0,2,103678
2020-04-07,83131121.0,2,108877
2020-04-08,83125839.0,2,114159
2020-04-09,83120924.0,2,119074
2020-04-10,83117564.0,2,122434
2020-04-11,83114677.0,2,125321
2020-04-12,83112812.0,2,127186
2020-04-13,83111212.0,2,128786
2020-04-14,83108745.0,2,131253
2020-04-15,83105418.0,2,134580
2020-04-16,83102002.0,2,137996
2020-04-17,83098949.0,2,141049
2020-04-18,83096839.0,2,143159
2020-04-19,83095460.0,2,144538
2020-04-20,83093738.0,2,146260
2020-04-21,83091553.0,2,148445
2020-04-22,83089062.0,2,150936
2020-04-23,83086972.0,2,153026
2020-04-24,83085066.0,2,154932
2020-04-25,83083793.0,2,156205
2020-04-26,83083089.0,2,156909
2020-04-27,83081973.0,2,158025
2020-04-28,83080503.0,2,159495
2020-04-29,83079071.0,2,160927
2020-04-30,83077612.0,3,162385
2020-05-01,83076695.0,3,163302
2020-05-02,83076075.0,3,163922
2020-05-03,83075651.0,3,164346
2020-05-04,83074923.0,3,165074
2020-05-05,83073830.0,3,166167
2020-05-06,83072608.0,3,167389
2020-05-07,83071410.0,3,168587
2020-05-08,83070430.0,3,169567
2020-05-09,83069752.0,3,170245
2020-05-10,83069411.0,3,170586
2020-05-11,83068723.0,3,171274
2020-05-12,83067870.0,3,172127
2020-05-13,83066958.0,3,173039
2020-05-14,83066148.0,3,173849
2020-05-15,83065419.0,3,174578
2020-05-16,83064959.0,3,175038
2020-05-17,83064643.0,3,175354
2020-05-18,83064101.0,3,175896
2020-05-19,83063370.0,3,176627
2020-05-20,83062538.0,3,177459
2020-05-21,83062121.0,3,177876
2020-05-22,83061593.0,3,178404
2020-05-23,83061255.0,3,178742
2020-05-24,83061031.0,3,178966
2020-05-25,83060619.0,3,179378
2020-05-26,83060003.0,3,179994
2020-05-27,83059355.0,3,180642
2020-05-28,83058828.0,3,181169
2020-05-29,83058380.0,3,181617
2020-05-30,83058006.0,3,181991
2020-05-31,83057827.0,3,182170
2020-06-01,83057690.0,3,182307
2020-06-02,83057386.0,3,182611
2020-06-03,83056890.0,3,183107
2020-06-04,83056362.0,3,183635
2020-06-05,83055924.0,3,184073
2020-06-06,83055639.0,3,184358
2020-06-07,83055475.0,3,184522
2020-06-08,83055178.0,3,184819
2020-06-09,83054750.0,3,185247
2020-06-10,83054232.0,3,185765
2020-06-11,83053954.0,3,186043
2020-06-12,83053604.0,3,186393
2020-06-13,83053305.0,3,186692
2020-06-14,83053133.0,3,186864
2020-06-15,83052874.0,3,187123
2020-06-16,83052333.0,3,187664
2020-06-17,83051352.0,3,188645
2020-06-18,83050718.0,3,189279
2020-06-19,83049787.0,3,190210
2020-06-20,83049263.0,3,190734
2020-06-21,83049008.0,3,190989
2020-06-22,83048524.0,3,191473
2020-06-23,83047973.0,3,192024
2020-06-24,83047469.0,3,192528
2020-06-25,83046898.0,3,193099
2020-06-26,83046323.0,3,193674
2020-06-27,83045994.0,3,194003
2020-06-28,83045795.0,3,194202
2020-06-29,83045379.0,3,194618
2020-06-30,83044920.0,3,195077
2020-07-01,83044436.0,3,195561
2020-07-02,83043966.0,3,196031
2020-07-03,83043540.0,3,196457
2020-07-04,83043248.0,3,196749
2020-07-05,83043106.0,3,196891
2020-07-06,83042786.0,3,197211
2020-07-07,83042395.0,3,197602
2020-07-08,83041942.0,3,198055
2020-07-09,83041515.0,3,198482
2020-07-10,83041088.0,3,198909
2020-07-11,83040810.0,3,199187
2020-07-12,83040679.0,3,199318
2020-07-13,83040355.0,3,199642
2020-07-14,83039894.0,3,200103
2020-07-15,83039357.0,3,200640
2020-07-16,83038800.0,3,201197
2020-07-17,83038278.0,3,201719
2020-07-18,83037850.0,3,202147
2020-07-19,83037663.0,3,202334
2020-07-20,83037207.0,4,202789
2020-07-21,83036687.0,4,203309
2020-07-22,83035989.0,4,204007
2020-07-23,83035293.0,4,204703
2020-07-24,83034488.0,4,205508
2020-07-25,83033945.0,4,206051
2020-07-26,83033734.0,4,206262
2020-07-27,83033207.0,4,206789
2020-07-28,83032451.0,4,207545
2020-07-29,83031546.0,4,208450
2020-07-30,83030695.0,4,209301
2020-07-31,83029774.0,4,210222
2020-08-01,83029213.0,4,210783
2020-08-02,83028912.0,4,211084
2020-08-03,83028114.0,5,211881
2020-08-04,83027168.0,5,212827
2020-08-05,83026055.0,5,213940
2020-08-06,83024889.0,5,215106
2020-08-07,83023884.0,5,216111
2020-08-08,83023173.0,5,216822
2020-08-09,83022854.0,5,217141
2020-08-10,83021750.0,5,218245
2020-08-11,83020556.0,5,219439
2020-08-12,83019016.0,5,220979
2020-08-13,83017527.0,5,222468
2020-08-14,83016151.0,5,223844
2020-08-15,83015397.0,5,224598
2020-08-16,83014905.0,5,225090
2020-08-17,83013356.0,5,226639
2020-08-18,83011820.0,5,228175
2020-08-19,83010068.0,5,229927
2020-08-20,83008447.0,5,231548
2020-08-21,83006793.0,5,233202
2020-08-22,83005879.0,5,234116
2020-08-23,83005314.0,5,234681
2020-08-24,83003883.0,5,236112
2020-08-25,83002405.0,5,237590
2020-08-26,83000792.0,5,239203
2020-08-27,82999251.0,5,240744
2020-08-28,82997862.0,5,242133
2020-08-29,82997030.0,5,242965
2020-08-30,82996493.0,5,243502
2020-08-31,82995309.0,5,244686
2020-09-01,82993989.0,5,246006
2020-09-02,82992572.0,5,247423
2020-09-03,82991053.0,5,248942
2020-09-04,82989561.0,5,250434
2020-09-05,82988454.0,5,251541
2020-09-06,82987876.0,5,252119
2020-09-07,82986465.0,5,253530
2020-09-08,82985083.0,5,254912
2020-09-09,82983330.0,5,256665
2020-09-10,82981738.0,5,258257
2020-09-11,82980087.0,5,259908
2020-09-12,82978863.0,5,261132
2020-09-13,82978105.0,5,261890
2020-09-14,82976622.0,5,263373
2020-09-15,82974617.0,5,265378
2020-09-16,82972420.0,5,267575
2020-09-17,82970065.0,5,269930
2020-09-18,82967893.0,6,272101
2020-09-19,82966497.0,6,273497
2020-09-20,82965807.0,6,274187
2020-09-21,82964151.0,6,275843
2020-09-22,82962338.0,6,277656
2020-09-23,82960132.0,6,279862
2020-09-24,82957736.0,6,282258
2020-09-25,82955408.0,6,284586
2020-09-26,82953620.0,6,286374
2020-09-27,82952745.0,6,287249
2020-09-28,82950924.0,6,289070
2020-09-29,82948754.0,6,291240
2020-09-30,82946021.0,6,293973
2020-10-01,82943094.0,6,296900
2020-10-02,82940175.0,6,299819
2020-10-03,82937965.0,6,302029
2020-10-04,82936812.0,6,303182
2020-10-05,82934402.0,6,305592
2020-10-06,82930816.0,6,309178
2020-10-07,82926325.0,6,313669
2020-10-08,82921648.0,6,318346
2020-10-09,82916593.0,7,323400
2020-10-10,82912958.0,7,327035
2020-10-11,82910682.0,7,329311
2020-10-12,82906493.0,7,333500
2020-10-13,82901120.0,7,338873
2020-10-14,82893870.0,7,346123
2020-10-15,82885947.0,7,354046
2020-10-16,82877977.0,7,362016
2020-10-17,82872278.0,7,367715
2020-10-18,82868595.0,7,371398
2020-10-19,82862123.0,7,377870
2020-10-20,82852678.0,7,387315
2020-10-21,82840278.0,7,399715
2020-10-22,82826380.0,7,413613
2020-10-23,82812340.0,7,427653
2020-10-24,82801233.0,7,438760
2020-10-25,82793762.0,7,446231
2020-10-26,82781734.0,7,458259
2020-10-27,82765763.0,7,474230
2020-10-28,82746504.0,7,493489
2020-10-29,82726646.0,8,513346
2020-10-30,82707226.0,8,532766
2020-10-31,82693200.0,8,546792
2020-11-01,82682662.0,8,557330
2020-11-02,82667406.0,8,572586
2020-11-03,82648057.0,8,591935
2020-11-04,82626829.0,8,613163
2020-11-05,82604545.0,8,635447
2020-11-06,82582960.0,8,657032
2020-11-07,82567022.0,8,672970
2020-11-08,82556846.0,8,683146
2020-11-09,82540878.0,8,699114
2020-11-10,82521253.0,8,718739
2020-11-11,82498550.0,10,741440
2020-11-12,82475035.0,11,764954
2020-11-13,82453656.0,11,786333
2020-11-14,82437847.0,11,802142
2020-11-15,82428977.0,11,811012
2020-11-16,82414269.0,11,825720
2020-11-17,82393915.0,11,846074
2020-11-18,82370209.0,11,869780
2020-11-19,82346455.0,11,893534
2020-11-20,82324150.0,12,915838
2020-11-21,82309357.0,12,930631
2020-11-22,82300505.0,12,939483
2020-11-23,82285409.0,12,954579
2020-11-24,82265960.0,12,974028
2020-11-25,82243873.0,12,996115
2020-11-26,82221095.0,12,1018893
2020-11-27,82200947.0,12,1039041
2020-11-28,82186010.0,12,1053978
2020-11-29,82177214.0,13,1062773
2020-11-30,82163887.0,13,1076100
2020-12-01,82144632.0,13,1095355
2020-12-02,82121426.0,13,1118561
2020-12-03,82096971.0,13,1143016
2020-12-04,82074679.0,13,1165308
2020-12-05,82058958.0,13,1181029
2020-12-06,82048697.0,13,1191290
2020-12-07,82032227.0,14,1207759
2020-12-08,82009387.0,14,1230599
2020-12-09,81981693.0,15,1258292
2020-12-10,81952619.0,15,1287366
2020-12-11,81925314.0,16,1314670
2020-12-12,81904665.0,17,1335318
2020-12-13,81892159.0,17,1347824
