Date,Susceptible,Infected,Removed
2020-04-05,4955006.0,4811,183
2020-04-06,4954141.0,5660,199
2020-04-07,4953776.0,5989,235
2020-04-08,4953312.0,6428,260
2020-04-09,4952607.0,7105,288
2020-04-10,4951911.0,7777,312
2020-04-11,4951072.0,8583,345
2020-04-12,4950345.0,9296,359
2020-04-13,4949353.0,10257,390
2020-04-14,4948522.0,11047,431
2020-04-15,4947453.0,12026,521
2020-04-16,4946729.0,12708,563
2020-04-17,4946020.0,13373,607
2020-04-18,4945242.0,14110,648
2020-04-19,4944749.0,14564,687
2020-04-20,4944348.0,14888,764
2020-04-21,4943960.0,6077,9963
2020-04-22,4943329.0,6669,10002
2020-04-23,4942393.0,7580,10027
2020-04-24,4941816.0,8122,10062
2020-04-25,4941439.0,8460,10101
2020-04-26,4940738.0,8942,10320
2020-04-27,4940352.0,9313,10335
2020-04-28,4940123.0,9485,10392
2020-04-29,4939747.0,5677,14576
2020-04-30,4939388.0,5994,14618
2020-05-01,4939167.0,6182,14651
2020-05-02,4938824.0,6504,14672
2020-05-03,4938494.0,6817,14689
2020-05-04,4938228.0,7067,14705
2020-05-05,4938017.0,7258,14725
2020-05-06,4937752.0,3763,18485
2020-05-07,4937615.0,3872,18513
2020-05-08,4937459.0,4002,18539
2020-05-09,4937240.0,4204,18556
2020-05-10,4937004.0,4428,18568
2020-05-11,4936865.0,4558,18577
2020-05-12,4936758.0,4644,18598
2020-05-13,4936599.0,2434,20967
2020-05-14,4936173.0,2851,20976
2020-05-15,4936044.0,2968,20988
2020-05-16,4935952.0,3045,21003
2020-05-17,4935888.0,3099,21013
2020-05-18,4935800.0,3183,21017
2020-05-19,4935749.0,3220,21031
2020-05-20,4935685.0,1684,22631
2020-05-21,4935609.0,1748,22643
2020-05-22,4935494.0,1854,22652
2020-05-23,4935418.0,1918,22664
2020-05-24,4935361.0,1971,22668
2020-05-25,4935302.0,2032,22666
2020-05-26,4935265.0,2060,22675
2020-05-27,4935197.0,1083,23720
2020-05-28,4935159.0,1113,23728
2020-05-29,4935124.0,1142,23734
2020-05-30,4935071.0,1190,23739
2020-05-31,4935010.0,1250,23740
2020-06-01,4934938.0,1323,23739
2020-06-02,4934934.0,1319,23747
2020-06-03,4934889.0,754,24357
2020-06-04,4934858.0,780,24362
2020-06-05,4934837.0,795,24368
2020-06-06,4934817.0,807,24376
2020-06-07,4934799.0,824,24377
2020-06-08,4934793.0,826,24381
2020-06-09,4934785.0,826,24389
2020-06-10,4934769.0,838,24393
2020-06-11,4934762.0,837,24401
