Date,Susceptible,Infected,Removed
2020-03-25,47300485.0,40501,9014
2020-03-26,47292214.0,46406,11380
2020-03-27,47284281.0,51224,14495
2020-03-28,47276765.0,54968,18267
2020-03-29,47269890.0,58598,21512
2020-03-30,47262044.0,63460,24496
2020-03-31,47254077.0,68200,27723
2020-04-01,47245882.0,72084,32034
2020-04-02,47237935.0,74974,37091
2020-04-03,47230801.0,77488,41711
2020-04-04,47223832.0,80002,46166
2020-04-05,47218354.0,80925,50721
2020-04-06,47213325.0,82897,53778
2020-04-07,47208058.0,84689,57253
2020-04-08,47201780.0,85407,62813
2020-04-09,47196778.0,85610,67612
2020-04-10,47191727.0,86524,71749
2020-04-11,47186973.0,87312,75715
2020-04-12,47183169.0,87231,79600
2020-04-13,47179901.0,87616,82483
2020-04-14,47177459.0,86981,85560
2020-04-15,47172356.0,88083,89561
2020-04-16,47165052.0,90836,94112
2020-04-17,47159161.0,96040,94799
2020-04-18,47158274.0,96886,94840
2020-04-19,47151326.0,100864,97810
2020-04-20,47149790.0,98771,101439
2020-04-21,47145822.0,100382,103796
2020-04-22,47141611.0,100757,107632
2020-04-23,47136976.0,101617,111407
2020-04-24,47147010.0,88111,114879
2020-04-25,47144095.0,87295,118610
2020-04-26,47142366.0,86072,121562
2020-04-27,47140535.0,85069,124396
2020-04-28,47139227.0,84403,126370
2020-04-29,47137083.0,79695,133222
2020-04-30,47136565.0,76842,136593
2020-05-01,47134784.0,78623,136593
2020-05-02,47133418.0,74234,142348
2020-05-03,47132534.0,73300,144166
2020-05-04,47131989.0,71240,146771
2020-05-05,47130671.0,70230,149099
2020-05-06,47129675.0,68466,151859
2020-05-07,47128553.0,66866,154581
2020-05-08,47127143.0,65410,157447
2020-05-09,47126422.0,63148,160430
2020-05-10,47125650.0,61563,162787
2020-05-11,47122564.0,63553,163883
2020-05-12,47121970.0,62130,165900
2020-05-13,47121309.0,60764,167927
2020-05-14,47120460.0,58845,170695
2020-05-15,47119817.0,57941,172242
2020-05-16,47119302.0,56689,174009
2020-05-17,47119302.0,56689,174009
2020-05-18,47118394.0,53521,178085
2020-05-19,47117963.0,53883,178154
2020-05-20,47117445.0,54291,178264
2020-05-21,47116963.0,54721,178316
2020-05-22,47115176.0,55820,179004
2020-05-23,47114710.0,56236,179054
2020-05-24,47114228.0,56644,179128
2020-05-25,47114600.0,58190,177210
2020-05-26,47113741.0,58766,177493
2020-05-27,47113741.0,58766,177493
2020-05-28,47112094.0,60411,177495
2020-05-29,47111436.0,61067,177497
2020-05-30,47110772.0,61727,177501
2020-05-31,47110521.0,61976,177503
2020-06-01,47110362.0,62135,177503
2020-06-02,47110068.0,62429,177503
2020-06-03,47109674.0,62822,177504
2020-06-04,47109340.0,63151,177509
2020-06-05,47109022.0,63468,177510
2020-06-06,47108690.0,63799,177511
2020-06-07,47108450.0,64038,177512
2020-06-08,47108283.0,64205,177512
2020-06-09,47108034.0,64454,177512
2020-06-10,47107720.0,64768,177512
2020-06-11,47107293.0,65195,177512
2020-06-12,47106791.0,65697,177512
2020-06-13,47106395.0,66093,177512
2020-06-14,47106072.0,66416,177512
2020-06-15,47105891.0,66597,177512
2020-06-16,47105672.0,66816,177512
2020-06-17,47105317.0,67171,177512
2020-06-18,47104732.0,67756,177512
2020-06-19,47104425.0,66884,178691
2020-06-20,47104062.0,67240,178698
2020-06-21,47103728.0,67573,178699
2020-06-22,47103496.0,67804,178700
2020-06-23,47103248.0,68051,178701
2020-06-24,47102914.0,68383,178703
2020-06-25,47102514.0,68780,178706
2020-06-26,47102095.0,69191,178714
2020-06-27,47101531.0,69752,178717
2020-06-28,47101230.0,70051,178719
2020-06-29,47101030.0,70248,178722
2020-06-30,47100729.0,70540,178731
2020-07-01,47100341.0,70919,178740
2020-07-02,47099897.0,71359,178744
2020-07-03,47099455.0,71784,178761
2020-07-04,47099455.0,71784,178761
2020-07-05,47099455.0,71784,178761
2020-07-06,47098211.0,73025,178764
2020-07-07,47097870.0,73362,178768
2020-07-08,47097487.0,73741,178772
2020-07-09,47096944.0,74279,178777
2020-07-10,47096092.0,75129,178779
2020-07-11,47096092.0,75129,178779
2020-07-12,47096092.0,75129,178779
2020-07-13,47094047.0,77171,178782
2020-07-14,47093381.0,77834,178785
2020-07-15,47092506.0,78705,178789
2020-07-16,47091145.0,80063,178792
2020-07-17,47089745.0,81459,178796
2020-07-18,47089745.0,81459,178796
2020-07-19,47089745.0,81459,178796
2020-07-20,47085164.0,86038,178798
2020-07-21,47083806.0,87394,178800
2020-07-22,47082449.0,88749,178802
2020-07-23,47079834.0,91361,178805
2020-07-24,47077579.0,93613,178808
2020-07-25,47077579.0,93613,178808
2020-07-26,47077579.0,93613,178808
2020-07-27,47071218.0,99972,178810
2020-07-28,47069390.0,101798,178812
2020-07-29,47067359.0,103824,178817
2020-07-30,47064570.0,106611,178819
2020-07-31,47061478.0,109701,178821
2020-08-01,47061478.0,109701,178821
2020-08-02,47061478.0,109701,178821
2020-08-03,47052946.0,118206,178848
2020-08-04,47047186.0,123940,178874
2020-08-05,47044233.0,126892,178875
2020-08-06,47040145.0,130979,178876
2020-08-07,47035638.0,135483,178879
2020-08-08,47035638.0,135483,178879
2020-08-09,47035638.0,135483,178879
2020-08-10,47027020.0,144028,178952
2020-08-11,47023388.0,147655,178957
2020-08-12,47020216.0,150829,178955
2020-08-13,47012666.0,158353,178981
2020-08-14,47007187.0,163820,178993
2020-08-15,47007187.0,163820,178993
2020-08-16,47007187.0,163820,178993
2020-08-17,46990918.0,180060,179022
2020-08-18,46985804.0,185150,179046
2020-08-19,46979133.0,191694,179173
2020-08-20,46972094.0,198717,179189
2020-08-21,46963946.0,206840,179214
2020-08-22,46963946.0,206840,179214
2020-08-23,46963946.0,206840,179214
2020-08-24,46944564.0,226188,179248
2020-08-25,46937447.0,233253,179300
2020-08-26,46930151.0,240502,179347
2020-08-27,46920493.0,250135,179372
2020-08-28,46910714.0,259899,179387
2020-08-29,46910714.0,259899,179387
2020-08-30,46910714.0,259899,179387
2020-08-31,46887142.0,283388,179470
2020-09-01,46879027.0,291445,179528
2020-09-02,46870446.0,299984,179570
2020-09-03,46861487.0,308903,179610
2020-09-04,46851011.0,319195,179794
2020-09-05,46851011.0,319195,179794
2020-09-06,46851011.0,319195,179794
2020-09-07,46824451.0,345657,179892
2020-09-08,46815487.0,354543,179970
2020-09-09,46806621.0,363375,180004
2020-09-10,46795857.0,374068,180075
2020-09-11,46783674.0,386203,180123
2020-09-12,46783674.0,386203,180123
2020-09-13,46783674.0,386203,180123
2020-09-14,46756270.0,413506,180224
2020-09-15,46746833.0,422787,180380
2020-09-16,46735640.0,433741,180619
2020-09-17,46724349.0,444870,180781
2020-09-18,46709960.0,459169,180871
2020-09-19,46709960.0,459169,180871
2020-09-20,46709960.0,459169,180871
2020-09-21,46678532.0,490429,181039
2020-09-22,46667733.0,500987,181280
2020-09-23,46656444.0,512146,181410
2020-09-24,46645791.0,522715,181494
2020-09-25,46633519.0,534873,181608
2020-09-26,46633519.0,534873,181608
2020-09-27,46633519.0,534873,181608
2020-09-28,46601734.0,566479,181787
2020-09-29,46601734.0,566479,181787
2020-09-30,46580812.0,587021,182167
2020-10-01,46571393.0,596258,182349
2020-10-02,46560068.0,607470,182462
2020-10-03,46560068.0,607470,182462
2020-10-04,46560068.0,607470,182462
2020-10-05,46536588.0,630811,182601
2020-10-06,46524590.0,642548,182862
2020-10-07,46514099.0,652963,182938
2020-10-08,46501676.0,665260,183064
2020-10-09,46488888.0,677807,183305
2020-10-10,46488888.0,677807,183305
2020-10-11,46488888.0,677807,183305
2020-10-12,46461032.0,705468,183500
2020-10-13,46453914.0,712506,183580
2020-10-14,46441944.0,724267,183789
2020-10-15,46428626.0,737445,183929
2020-10-16,46413440.0,752409,184151
2020-10-17,46413440.0,752409,184151
2020-10-18,46413440.0,752409,184151
2020-10-19,46375551.0,790081,184368
2020-10-20,46361678.0,803736,184586
2020-10-21,46344705.0,820553,184742
2020-10-22,46323719.0,841384,184897
2020-10-23,46303868.0,861004,185128
2020-10-24,46303868.0,861004,185128
2020-10-25,46303868.0,861004,185128
2020-10-26,46251680.0,912913,185407
2020-10-27,46233262.0,931064,185674
2020-10-28,46213497.0,950661,185842
2020-10-29,46189917.0,974068,186015
2020-10-30,46164322.0,999424,186254
2020-10-31,46164322.0,999424,186254
2020-11-01,46164322.0,999424,186254
2020-11-02,46109303.0,1054064,186633
2020-11-03,46090634.0,1072495,186871
2020-11-04,46065592.0,1095914,188494
2020-11-05,46043684.0,1117454,188862
2020-11-06,46021168.0,1139623,189209
2020-11-07,46021168.0,1139623,189209
2020-11-08,46021168.0,1139623,189209
2020-11-09,45968782.0,1191497,189721
2020-11-10,45968782.0,1191497,189721
2020-11-11,45932291.0,1227228,190481
2020-11-12,45912780.0,1246383,190837
2020-11-13,45891409.0,1267446,191145
2020-11-14,45891409.0,1267446,191145
2020-11-15,45891409.0,1267446,191145
2020-11-16,45853136.0,1305235,191629
2020-11-17,45839977.0,1317959,192064
2020-11-18,45824659.0,1332926,192415
2020-11-19,45808426.0,1348907,192667
2020-11-20,45793270.0,1363735,192995
2020-11-21,45793270.0,1363735,192995
2020-11-22,45793270.0,1363735,192995
2020-11-23,45767384.0,1389109,193507
2020-11-24,45755156.0,1400800,194044
