Date,Susceptible,Infected,Removed
2020-04-09,67151948.0,58226,9826
2020-04-10,67146242.0,62601,11157
2020-04-11,67141009.0,66991,12000
2020-04-12,67135721.0,71622,12657
2020-04-13,67131379.0,75240,13381
2020-04-14,67126127.0,79416,14457
2020-04-15,67121524.0,83139,15337
2020-04-16,67116907.0,86720,16373
2020-04-17,67111308.0,91406,17286
2020-04-18,67105783.0,95826,18391
2020-04-19,67099933.0,101244,18823
2020-04-20,67095257.0,105350,19393
2020-04-21,67090956.0,108427,20617
2020-04-22,67086505.0,112031,21464
2020-04-23,67081922.0,115932,22146
2020-04-24,67076536.0,120308,23156
2020-04-25,67071623.0,124406,23971
2020-04-26,67067160.0,128505,24335
2020-04-27,67062851.0,132494,24655
2020-04-28,67058855.0,135521,25624
2020-04-29,67054779.0,138828,26393
2020-04-30,67048747.0,144226,27027
2020-05-01,67042546.0,149729,27725
2020-05-02,67037740.0,153951,28309
2020-05-03,67033401.0,158037,28562
2020-05-04,67029416.0,161750,28834
2020-05-05,67025010.0,165430,29560
2020-05-06,67018899.0,170894,30207
2020-05-07,67013285.0,176050,30665
2020-05-08,67008636.0,180120,31244
2020-05-09,67004740.0,183741,31519
2020-05-10,67000817.0,187447,31736
2020-05-11,66996940.0,191137,31923
2020-05-12,66993537.0,193926,32537
2020-05-13,66990295.0,196721,32984
2020-05-14,66986849.0,199815,33336
2020-05-15,66983289.0,203025,33686
2020-05-16,66979839.0,206064,34097
2020-05-17,66976277.0,209559,34164
2020-05-18,66973594.0,212096,34310
2020-05-19,66971182.0,214008,34810
2020-05-20,66971707.0,213155,35138
2020-05-21,66969092.0,215497,35411
2020-05-22,66965805.0,218493,35702
2020-05-23,66962846.0,221232,35922
2020-05-24,66960441.0,223258,36301
2020-05-25,66958816.0,224779,36405
2020-05-26,66954773.0,228691,36536
2020-05-27,66952760.0,230282,36958
2020-05-28,66950873.0,231826,37301
2020-05-29,66948778.0,233647,37575
2020-05-30,66947174.0,235097,37729
2020-05-31,66945238.0,236973,37789
2020-06-01,66943668.0,238457,37875
2020-06-02,66942015.0,239861,38124
2020-06-03,66940144.0,241478,38378
2020-06-04,66938339.0,243153,38508
2020-06-05,66936689.0,244545,38766
2020-06-06,66935132.0,245959,38909
2020-06-07,66933806.0,247231,38963
2020-06-08,66932601.0,248389,39010
2020-06-09,66930860.0,249935,39205
2020-06-10,66929857.0,250774,39369
